Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum36708	PFAM Aminotransferase class I and II
Breviolum216828	Methyltransferase domain
Breviolum173715	histone H3-S10 phosphorylation involved in chromosome condensation
Breviolum108241	K homology RNA-binding domain
Breviolum40341	homolog 6
Breviolum106483	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Breviolum116805	cilium assembly
Breviolum94735	NTPase
Breviolum32150	Yip1 domain
Breviolum247027	Taurine catabolism dioxygenase TauD, TfdA family
Breviolum205933	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
Breviolum247068	heavy chain
Breviolum64950	Belongs to the protein kinase superfamily
Breviolum157874	cAMP-dependent protein kinase regulator activity
Breviolum30574	PFAM Phospholipid glycerol acyltransferase
Breviolum208656	Acetyl-CoA carboxylase, central region
Breviolum20483	YT521-B-like domain
Breviolum115171	Guanylate-binding protein, N-terminal domain
Breviolum112575	WD domain, G-beta repeat
Breviolum176449	3',5'-cyclic-nucleotide phosphodiesterase activity
Breviolum177738	Beta-lactamase
Breviolum117960	FAD binding domain
Breviolum118130	Prolyl 4-hydroxylase alpha subunit homologues.
Breviolum39594	ATPase activity
Breviolum207723	Belongs to the ALAD family
Breviolum157739	MutS domain I
Breviolum73294	Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively
Breviolum79264	Uncharacterized conserved protein (DUF2183)
Breviolum44665	domain present in cyclins, TFIIB and Retinoblastoma
Breviolum57041	tRNA pseudouridine synthase Pus10
Breviolum25807	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum249528	dTDP-glucose 4,6-dehydratase activity
Breviolum90550	Glycosyl hydrolase family 20, catalytic domain
Breviolum177108	zinc finger protein gcs1
Breviolum308349	Acts as an adapter for the XPO1 CRM1-mediated export of the 60S ribosomal subunit
Breviolum37951	It is involved in the biological process described with DNA
Breviolum110326	Phosphotransferase enzyme family
Breviolum90712	ubiquitin protein ligase activity
Breviolum274235	Splicing factor 3B subunit 10 (SF3b10)
Breviolum283476	AIR synthase related protein, N-terminal domain
Breviolum275444	to Saccharomyces cerevisiae GPI8 (YDR331W)
Breviolum12895	intracellular protein transport
Breviolum17668	N-acylneuraminate-9-phosphatase activity
Breviolum271083	Glutamine synthetase type III N terminal
Breviolum37903	cGMP-dependent protein kinase activity
Breviolum240274	Aldo/keto reductase family
Breviolum206892	RNA ligase
Breviolum271626	Belongs to the protein kinase superfamily
Breviolum86269	Valyl-tRNA synthetase. Source PGD
Breviolum213928	2OG-Fe(II) oxygenase superfamily
Breviolum212660	Peroxisome biogenesis protein
Breviolum205020	Thymidylate kinase
Breviolum151852	Serine threonine-protein phosphatase
Breviolum206384	Enolase, N-terminal domain
Breviolum110504	DNA ligase
Breviolum53710	translation activator activity
Breviolum80698	methyltransferase activity
Breviolum15577	Serine hydrolase involved in the detoxification of formaldehyde
Breviolum240641	La ribonucleoprotein domain family member
Breviolum48428	Aminotransferase
Breviolum101469	fatty acid beta-oxidation using acyl-CoA dehydrogenase
Breviolum144755	Belongs to the universal ribosomal protein uL5 family
Breviolum101592	Belongs to the peptidase C1 family
Breviolum82381	MreB/Mbl protein
Breviolum75764	Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit
Breviolum239317	Divalent cation transporter
Breviolum125947	Protein tyrosine kinase
Breviolum102519	BCCT, betaine/carnitine/choline family transporter
Breviolum130011	repair protein
Breviolum99980	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain
Breviolum87257	Calponin domain-containing protein. Source PGD
Breviolum49992	Rhodanese-like domain
Breviolum283880	Met-10+ like-protein
Breviolum23937	RNA recognition motif 2
Breviolum59029	Beta-lactamase
Breviolum106948	heat shock protein 70
Breviolum124786	Responsible for synthesis of pseudouridine from uracil
Breviolum90250	Leucine rich transmembrane and O-methyltransferase domain containing
Breviolum125342	Extension to Ser/Thr-type protein kinases
Breviolum38959	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate
Breviolum65111	Protein kinase C terminal domain
Breviolum206489	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum119395	hydrogen-translocating pyrophosphatase activity
Breviolum157804	PAP_fibrillin
Breviolum243168	sulfur dioxygenase activity
Breviolum208078	Cytochrome C biogenesis protein
Breviolum107582	Responsible for synthesis of pseudouridine from uracil
Breviolum78756	ATP binding
Breviolum132844	COG1393 Arsenate reductase and related proteins, glutaredoxin family
Breviolum80470	deSI-like protein
Breviolum106081	Protein kinase A catalytic subunit isoform
Breviolum86913	Tetratricopeptide repeat
Breviolum274682	imidazolonepropionase activity
Breviolum25955	cell redox homeostasis
Breviolum62053	phosphopantetheine binding
Breviolum240453	Protein of unknown function (DUF778)
Breviolum38487	spectrin binding
Breviolum44643	palmitoyl-(protein) hydrolase activity
Breviolum190040	ATPases associated with a variety of cellular activities
Breviolum109394	Polysaccharide deacetylase
Breviolum173553	calcium ion binding
Breviolum17778	COG0526, thiol-disulfide isomerase and thioredoxins
Breviolum240128	Protein phosphatase 2C
Breviolum96902	Belongs to the glycosyl hydrolase 31 family
Breviolum79837	mRNA 3'-end processing
Breviolum98934	Calcium-dependent protein kinase
Breviolum241968	dipeptidyl-peptidase activity
Breviolum23574	Belongs to the type-B carboxylesterase lipase family
Breviolum277990	gamma-glutamylaminecyclotransferase activity
Breviolum40798	nicotinate-nucleotide adenylyltransferase activity
Breviolum121779	CAX-interacting protein
Breviolum311130	Involved in ribosomal large subunit assembly
Breviolum79736	dodecanoyl-[acyl-carrier-protein] hydrolase activity
Breviolum3413	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
Breviolum41765	Acyl transferase domain
Breviolum44910	MOSC domain-containing protein 2, mitochondrial
Breviolum16471	Component of the cytosolic iron-sulfur (Fe S) protein assembly (CIA) machinery. Required for maturation of extramitochondrial Fe-S proteins. The NBP35-CFD1 heterotetramer forms a Fe-S scaffold complex, mediating the de novo assembly of an Fe-S cluster and its transfer to target apoproteins
Breviolum36571	serine-type carboxypeptidase activity
Breviolum103621	AI-2E family transporter
Breviolum92235	Belongs to the universal ribosomal protein uS13 family
Breviolum172681	PFAM Sulfate transporter antisigma-factor antagonist STAS
Breviolum309548	short chain dehydrogenase
Breviolum145687	synthase
Breviolum239042	carboxylic ester hydrolase activity
Breviolum69520	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)
Breviolum107499	regulation of proton-transporting ATPase activity, rotational mechanism
Breviolum51956	Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2) and the conversion of 2-polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2- polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol (DMQH2)
Breviolum12907	Could be involved in insertion of integral membrane proteins into the membrane
Breviolum241027	protein serine/threonine kinase activity
Breviolum114911	Purple acid phosphatase
Breviolum143300	Belongs to the protein kinase superfamily
Breviolum111708	peptidyl-prolyl cis-trans isomerase activity
Breviolum69899	DegT/DnrJ/EryC1/StrS aminotransferase family
Breviolum69814	Belongs to the peptidase S16 family
Breviolum174337	Glycosyltransferase (GlcNAc)
Breviolum276961	Capsular polysaccharide synthesis protein
Breviolum65084	Glycogen recognition site of AMP-activated protein kinase
Breviolum76342	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum17257	DUF1771
Breviolum9071	Gtr1/RagA G protein conserved region
Breviolum16608	6-phosphofructo-2-kinase
Breviolum206304	Carboxylesterase family
Breviolum239271	Pirin
Breviolum185881	procollagen-proline 4-dioxygenase activity
Breviolum100410	protease
Breviolum127438	Sister chromatid cohesion protein
Breviolum280473	adenyl-nucleotide exchange factor activity
Breviolum106900	Belongs to the AAA ATPase family
Breviolum90670	Transmembrane protein 65
Breviolum68273	cation transport ATPase
Breviolum101501	RNA-binding protein mei2 homologue
Breviolum82427	Belongs to the glycosyl hydrolase 3 family
Breviolum16348	Rab subfamily of small GTPases
Breviolum206371	guanyl-nucleotide exchange factor activity
Breviolum695	Checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase
Breviolum80397	rRNA binding
Breviolum317221	DNA-directed RNA polymerases I, II, and III subunit RPABC1
Breviolum52037	Belongs to the enoyl-CoA hydratase isomerase family
Breviolum88907	Belongs to the eukaryotic ribosomal protein eL36 family
Breviolum69399	PFAM aminotransferase class V
Breviolum81587	TBC1 domain family member
Breviolum49887	Dynein heavy chain and region D6 of dynein motor
Breviolum174644	Protein PTHB1 isoform
Breviolum125580	RNA helicase
Breviolum10184	DNA topoisomerase type II (ATP-hydrolyzing) activity
Breviolum127668	14-3-3 protein
Breviolum241512	minus-end-directed vesicle transport along microtubule
Breviolum95349	Belongs to the eukaryotic ribosomal protein eL6 family
Breviolum102185	TIGRFAM folate biopterin transporter
Breviolum62226	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum57016	alpha-1,4-glucan synthase activity
Breviolum276930	phosphate ion transport
Breviolum92571	inorganic phosphate transmembrane transporter activity
Breviolum95425	UDP-glucoronosyl and UDP-glucosyl transferase
Breviolum177295	May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
Breviolum55414	Sulfatase
Breviolum108092	Glycosyltransferase
Breviolum32563	Alkylated DNA repair protein
Breviolum112758	AP-1 complex subunit beta. Source PGD
Breviolum278252	RING-like zinc finger
Breviolum139966	cAMP-dependent protein kinase catalytic subunit
Breviolum107676	ATP-binding cassette, sub-family C (CFTR MRP), member
Breviolum254593	Dynein light chain protein
Breviolum40519	Protein N-lysine methyltransferase
Breviolum105022	aspartoacylase activity
Breviolum30250	Protein of unknown function (DUF1295)
Breviolum85389	Ion transport protein
Breviolum46135	Belongs to the DEAD box helicase family
Breviolum39305	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Breviolum53417	ubiquitin-protein transferase activity
Breviolum182335	Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
Breviolum244723	Histone deacetylase domain
Breviolum17113	UDP-galactopyranose mutase
Breviolum156088	Protein unc-50 homolog
Breviolum157670	arogenate dehydratase activity
Breviolum239061	protein KIAA0556 homolog
Breviolum243692	S-adenosylmethionine-dependent methyltransferase
Breviolum36366	hypoxanthine salvage
Breviolum38623	CCR4-NOT transcription complex subunit 6-like
Breviolum158634	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Breviolum5518	Belongs to the SelWTH family. Selenoprotein T subfamily
Breviolum239763	DTW domain
Breviolum270752	Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism
Breviolum139981	cilium movement involved in cell motility
Breviolum87463	Fad dependent oxidoreductase
Breviolum33470	Sybindin-like family domain-containing protein
Breviolum210639	4-aminobutyrate:pyruvate transaminase activity
Breviolum271847	oxidation-reduction process
Breviolum279512	protein modification by small protein conjugation
Breviolum160970	aggrephagy
Breviolum75710	protein folding
Breviolum55827	beta-glucosidase activity
Breviolum55175	protein delipidation
Breviolum157671	Wu fj29h11
Breviolum80229	S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity
Breviolum53615	GDSL-like Lipase/Acylhydrolase
Breviolum131934	Cytochrome b5-like Heme/Steroid binding domain
Breviolum59093	Methylphosphate capping
Breviolum57939	2OG-Fe(II) oxygenase superfamily
Breviolum77073	Phosphodiesterase 4A
Breviolum79134	Source PGD
Breviolum158730	SNARE associated Golgi protein
Breviolum155785	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum88924	dodecenoyl-CoA delta-isomerase activity
Breviolum108081	glutamyl-tRNA reductase activity
Breviolum178182	2-alkenal reductase [NAD(P)] activity
Breviolum277095	ABC transporter, phosphonate, periplasmic substrate-binding protein
Breviolum24591	Belongs to the DHHC palmitoyltransferase family
Breviolum86210	nuclear localization sequence binding
Breviolum178985	Ring finger protein
Breviolum243324	cobalamin synthesis protein
Breviolum30446	Peroxidase
Breviolum12772	Sigma factor PP2C-like phosphatases
Breviolum67394	Cytochrome C oxidase, cbb3-type, subunit III
Breviolum12411	60S ribosomal protein L18
Breviolum45258	Lipase 3 N-terminal region
Breviolum209947	PFAM ATP-binding region, ATPase domain protein
Breviolum102769	ribosomal protein
Breviolum39772	Aldo/keto reductase family
Breviolum87432	14-3-3 protein binding
Breviolum43814	Protein of unknown function (DUF2838)
Breviolum20524	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
Breviolum58436	negative regulation of mRNA splicing, via spliceosome
Breviolum274548	Inositol-1-monophosphatase
Breviolum175056	phosphatase regulator activity
Breviolum239927	procollagen-lysine 5-dioxygenase activity
Breviolum178813	26S subunit, non-ATPase 13
Breviolum13730	Speckle-type POZ protein-like
Breviolum280759	regulation of chaperone-mediated protein complex assembly
Breviolum305940	alpha-galactosidase activity
Breviolum79175	Rhomboid-like protein
Breviolum176053	ATP-dependent helicase
Breviolum61452	DNA replication
Breviolum64546	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Breviolum273601	Protein of unknown function, DUF393
Breviolum239788	Type III restriction enzyme, res subunit
Breviolum208192	2'-phosphotransferase, Tpt1
Breviolum77098	alpha-galactosidase
Breviolum8898	cysteine-type peptidase activity
Breviolum61028	Sulfhydryl oxidase
Breviolum35808	Lariat debranching enzyme, C-terminal domain
Breviolum94454	Chlorophyll A-B binding protein
Breviolum9581	G-patch domain-containing protein
Breviolum65900	ALA-Interacting Subunit
Breviolum93645	ABC transporter
Breviolum94520	regulation of choline O-acetyltransferase activity
Breviolum96749	2OG-Fe(II) oxygenase superfamily
Breviolum172497	Creatine kinase
Breviolum59600	SEC-C motif
Breviolum33242	protein serine/threonine kinase activity
Breviolum154868	CAM kinase, SNF1 AMK1 family ToxPK1
Breviolum91082	Methylmalonic aciduria and homocystinuria type D
Breviolum271907	Cyclin-dependent protein kinase
Breviolum57688	receptor-like serine threonine-protein kinase
Breviolum95496	Belongs to the ClpA ClpB family
Breviolum117008	Calcium-dependent protein kinase
Breviolum36936	ethanolamine kinase activity
Breviolum64586	G-quadruplex DNA unwinding
Breviolum172278	mRNA 3'-end processing by stem-loop binding and cleavage
Breviolum93332	40s ribosomal protein
Breviolum241774	C2 domain
Breviolum20638	oxidoreductase activity
Breviolum140608	calcium-dependent protein serine/threonine kinase activity
Breviolum178363	UTP23, small subunit (SSU) processome component, homolog (yeast)
Breviolum80894	Belongs to the protein kinase superfamily
Breviolum76299	poly(A)-specific ribonuclease activity
Breviolum101098	PFAM alpha amylase, catalytic
Breviolum110172	regulation of endocannabinoid signaling pathway
Breviolum4581	guanine transport
Breviolum238863	calcium-dependent protein serine/threonine kinase activity
Breviolum140012	Calcium calmodulin-dependent protein kinase
Breviolum153305	Catalyzes the transfer of selenium from selenophosphate for conversion of 2-thiouridine to 2-selenouridine at the wobble position in tRNA
Breviolum147168	metalloaminopeptidase activity
Breviolum127729	cAMP-dependent protein kinase regulatory subunit
Breviolum158360	cysteine-type peptidase activity
Breviolum311413	threonine-type endopeptidase activity
Breviolum227659	peptidyl-proline hydroxylation to 4-hydroxy-L-proline
Breviolum238453	Yip1 domain
Breviolum69227	Nuclear pore complex protein
Breviolum149416	SPFH domain / Band 7 family
Breviolum90502	ATP-dependent RNA helicase A
Breviolum120710	protein heterodimerization activity
Breviolum317174	YGGT family
Breviolum60380	AAA domain (dynein-related subfamily)
Breviolum259982	Cytidylyltransferase-like
Breviolum58017	Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA
Breviolum47677	WD domain, G-beta repeat
Breviolum137576	Trehalase
Breviolum51675	Belongs to the peptidase S8 family
Breviolum66895	phosphatase 2C
Breviolum240735	Source PGD
Breviolum60421	FAD binding domain
Breviolum75891	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
Breviolum238449	Cytoplasmic dynein 1 heavy chain 1
Breviolum172041	Poly-adenylate binding protein, unique domain
Breviolum77845	dynein intermediate chain
Breviolum312453	molecular chaperone
Breviolum68248	Photosystem I reaction center subunit IV
Breviolum87396	Alpha-tubulin suppressor and related RCC1 domain-containing
Breviolum55280	Belongs to the peptidase C1 family
Breviolum76959	regulation of cardiac conduction
Breviolum124351	Transmembrane E3 ubiquitin-protein ligase
Breviolum102806	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Breviolum79567	2 iron, 2 sulfur cluster binding
Breviolum10162	Syntaxin
Breviolum66542	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum207775	3,4-dihydroxy-2-butanone 4-phosphate synthase
Breviolum77129	Uncharacterized protein family UPF0016
Breviolum43734	phospho-N-acetylmuramoyl-pentapeptide-transferase activity
Breviolum86736	homolog, subfamily A, member
Breviolum213436	phosphoglucomutase activity
Breviolum161695	methenyltetrahydrofolate synthetase domain containing
Breviolum52496	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Breviolum77172	isomerase activity
Breviolum272926	protein serine/threonine kinase activity
Breviolum242366	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4
Breviolum141875	chromatin remodeling
Breviolum32073	ABC-2 type transporter
Breviolum80671	membrane depolarization during action potential
Breviolum91477	Vacuolar-processing enzyme. Source PGD
Breviolum20092	Protein kinase domain
Breviolum64271	L-threonine 3-dehydrogenase activity
Breviolum215381	Ecdysteroid kinase
Breviolum27013	Ammonium Transporter Family
Breviolum238616	sodium ion transport
Breviolum44879	Domain found in IF2B/IF5
Breviolum207893	unusual protein kinase
Breviolum133065	protein-cysteine S-acyltransferase activity
Breviolum80383	Serine threonine-protein kinase HT1
Breviolum283927	RNA polymerase III RPC4
Breviolum59971	ATP-dependent RNA helicase activity
Breviolum21498	LMBR1 family region protein
Breviolum66071	catalytic subunit
Breviolum252028	EF-hand domain
Breviolum114279	sulfuric ester hydrolase activity
Breviolum151444	Ankyrin repeats (many copies)
Breviolum240984	protein modification by small protein conjugation
Breviolum178519	oxidation-reduction process
Breviolum124157	Cytochrome P450
Breviolum73995	magnesium ion homeostasis
Breviolum86676	Elongation factor
Breviolum273780	Specifically methylates the adenine in position 2030 of 23S rRNA
Breviolum57107	rhodanese-like domain-containing protein
Breviolum66881	phosphoglycerate dehydrogenase activity
Breviolum101138	Peptidase family M1 domain
Breviolum37848	cysteine-type peptidase activity
Breviolum189224	2OG-Fe(II) oxygenase superfamily
Breviolum175623	Belongs to the ribose-phosphate pyrophosphokinase family
Breviolum77963	calcium-dependent cysteine-type endopeptidase activity
Breviolum210383	Minichromosome maintenance 8 homologous recombination repair factor
Breviolum135566	Calmodulin
Breviolum130165	Proteasome beta subunits C terminal
Breviolum108628	Regulator of chromosome condensation
Breviolum176587	Adaptin ear-binding coat-associated protein 2 (NECAP-2) isoform 2 family protein
Breviolum64260	mitogen-activated protein kinase
Breviolum137236	Vacuolar ATP synthase subunit D
Breviolum18848	Family with sequence similarity 172 member A
Breviolum310776	Glycosyl transferases group 1
Breviolum73498	Putative RNA methyltransferase
Breviolum53664	Short-chain dehydrogenase reductase sdr
Breviolum57671	Ribosome biogenesis protein
Breviolum44612	RNA methylase
Breviolum1139	Selenide, water dikinase
Breviolum282202	Serine/Threonine protein kinases, catalytic domain
Breviolum66735	SNF2 family N-terminal domain
Breviolum138705	DNA excision repair protein ERCC-6-like protein
Breviolum69234	Glycosyl hydrolase family 1
Breviolum53581	Exostosin family
Breviolum74356	Xylose isomerase-like
Breviolum27292	K homology RNA-binding domain
Breviolum39100	Starch binding domain
Breviolum31320	Domain of unknown function (DUF4483)
Breviolum54833	AarF domain-containing protein kinase
Breviolum115147	C-5 cytosine-specific DNA methylase
Breviolum273043	Belongs to the protein kinase superfamily
Breviolum219874	Adenosine deaminase
Breviolum213464	Dip2/Utp12 Family
Breviolum19740	amino acid transmembrane transporter activity
Breviolum158070	RNA transmembrane transporter activity
Breviolum45796	histone serine kinase activity
Breviolum17278	Source PGD
Breviolum41944	kinase 5
Breviolum59131	Metal dependent phosphohydrolases with conserved 'HD' motif.
Breviolum280274	zinc-ribbon
Breviolum134711	heat shock protein 70
Breviolum141245	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum156039	Protein kinase domain
Breviolum100665	Torus domain
Breviolum281825	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Breviolum114960	DNA ligase (ATP) activity
Breviolum132105	Signal recognition particle receptor beta subunit
Breviolum238402	demethylase 8
Breviolum58816	Telomeric repeat binding factor 2, interacting protein
Breviolum34093	guanylate cyclase activity
Breviolum91831	Protein RCC2 homolog
Breviolum239609	13-prostaglandin reductase activity
Breviolum934	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits
Breviolum42658	4-aminobutyrate:pyruvate transaminase activity
Breviolum86881	Responsible for synthesis of pseudouridine from uracil
Breviolum40136	protein refolding
Breviolum86827	Leucine rich repeat
Breviolum120930	Serine threonine protein kinase
Breviolum23168	ubiquitin protein ligase activity
Breviolum17171	calcium-dependent cysteine-type endopeptidase activity
Breviolum241394	manganese ion binding
Breviolum241548	Belongs to the ATG8 family
Breviolum57679	Dimerisation domain
Breviolum11461	serine-type endopeptidase activity
Breviolum204825	response to arachidonic acid
Breviolum208257	Selenoprotein O, known as YdiU in bacteria. Both members of the SelO family. Blast hits are mainly YdiU, but blast to eukaryotes gives Sel O
Breviolum102968	calcium ion binding
Breviolum42672	K homology RNA-binding domain
Breviolum20444	Uncharacterised protein family (UPF0172)
Breviolum220999	Pfam:DUF328
Breviolum206623	microtubule binding
Breviolum281450	methyltransferase activity
Breviolum101901	phosphate ion transport
Breviolum78953	glutathione s-transferase
Breviolum64660	Belongs to the class-I aminoacyl-tRNA synthetase family
Breviolum248346	Belongs to the DegT DnrJ EryC1 family
Breviolum62700	Mitogen-activated protein kinase
Breviolum65756	molecular chaperone
Breviolum146321	calcium ion binding
Breviolum147241	Citrate transporter
Breviolum86869	mismatched DNA binding
Breviolum77669	Calcium-binding protein
Breviolum144706	Belongs to the citrate synthase family
Breviolum104762	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Breviolum15139	NFU1 iron-sulfur cluster scaffold
Breviolum312527	Protein of unknown function (DUF521)
Breviolum281375	KDEL (Lys-Asp-Glu-Leu) containing 1
Breviolum129539	Sugar transport protein
Breviolum44504	Aldo/keto reductase family
Breviolum100339	Catechol O-methyltransferase
Breviolum103395	Belongs to the DEAD box helicase family
Breviolum51877	Plays a central role in 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Also essential during biosynthesis of the molybdenum cofactor. Acts by mediating the C-terminal thiocarboxylation of sulfur carriers URM1 and MOCS2A. Its N-terminus first activates URM1 and MOCS2A as acyl-adenylates (-COAMP), then the persulfide sulfur on the catalytic cysteine is transferred to URM1 and MOCS2A to form thiocarboxylation (-COSH) of their C-terminus. The reaction probably involves hydrogen sulfide that is generated from the persulfide intermediate and that acts as nucleophile towards URM1 and MOCS2A. Subsequently, a transient disulfide bond is formed. Does not use thiosulfate as sulfur donor
Breviolum78244	oxidation-reduction process
Breviolum80319	branched-chain-amino-acid transaminase activity
Breviolum138722	endonuclease V
Breviolum58591	Zn-dependent hydrolases of the beta-lactamase fold
Breviolum116512	cAMP-dependent protein kinase activity
Breviolum63516	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Breviolum23148	ATP-grasp domain
Breviolum23046	protein serine/threonine kinase activity
Breviolum183521	WD domain, G-beta repeat-containing protein
Breviolum150793	DEAD DEAH box RNA helicase
Breviolum84560	Sir2 family
Breviolum40464	ATPase activity, coupled to transmembrane movement of substances
Breviolum223784	WD-40 repeat-containing protein. Source PGD
Breviolum172365	Calpain-like thiol protease family.
Breviolum55053	protein-cysteine S-palmitoyltransferase activity
Breviolum85764	Belongs to the small Tim family
Breviolum173820	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum95117	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum184862	Inhibitor of apoptosis-promoting Bax1
Breviolum151497	Thioesterase thiol ester dehydrase-isomerase
Breviolum121704	antr2,pht4
Breviolum34867	Sucrose-6F-phosphate phosphohydrolase
Breviolum39474	protein ubiquitination
Breviolum93837	tRNA synthetases class II (D, K and N)
Breviolum48259	Dolichol kinase
Breviolum57820	LicD family
Breviolum57870	ubiquitin-protein transferase activity
Breviolum173584	calmodulin-dependent protein kinase activity
Breviolum80375	negative regulation of vulval development
Breviolum276028	ADP-ribosylglycohydrolase
Breviolum58404	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Breviolum207640	Domain of unknown function (DUF3372)
Breviolum212752	Peptidase C26
Breviolum77184	UDP-galactose transporter
Breviolum84619	glycerophosphodiester phosphodiesterase activity
Breviolum18830	glycoside hydrolase family 5 protein
Breviolum42512	deSI-like protein At4g17486
Breviolum175477	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Breviolum238037	Copine
Breviolum251719	Quinonoid dihydropteridine reductase
Breviolum277042	-
Breviolum58390	acetylesterase activity
Breviolum95826	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Breviolum59085	Q COG3321 Polyketide synthase modules and related proteins
Breviolum84204	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
Breviolum158062	DnaJ molecular chaperone homology domain
Breviolum49302	Sugar fermentation stimulation protein
Breviolum86239	ATPases associated with a variety of cellular activities
Breviolum65991	p25-alpha
Breviolum132122	PRP38 family
Breviolum41981	hydrolases or acyltransferases (alpha beta hydrolase superfamily)
Breviolum105693	metaphase/anaphase transition of mitotic cell cycle
Breviolum82774	positive regulation of potassium:proton exchanging ATPase activity
Breviolum105917	retrograde trans-synaptic signaling by lipid
Breviolum311392	Pyridine nucleotide-disulphide oxidoreductase
Breviolum99130	RNA polymerase Rpb3/Rpb11 dimerisation domain
Breviolum50244	aspartyl asparaginyl
Breviolum78034	PFAM regulator of chromosome condensation, RCC1
Breviolum48350	protein-cysteine S-palmitoyltransferase activity
Breviolum310200	intraciliary transport
Breviolum305960	Ethanolamine-phosphate cytidylyltransferase-like
Breviolum23358	CRT-like, chloroquine-resistance transporter-like
Breviolum104745	Pecanex-like
Breviolum46083	transporter
Breviolum147809	polyketide synthase
Breviolum125202	histone pre-mRNA stem-loop binding
Breviolum101312	snoRNA binding
Breviolum175221	ATPase activity
Breviolum56610	Protein kinase domain
Breviolum16726	Pyruvate dehydrogenase
Breviolum49165	Pyruvate dehydrogenase lipoamide kinase isozyme 2, mitochondrial
